question,body no carry,body carry,paraphrase no carry,paraphrase carry,answer no carry,answer carry,answer,Carry Operation,Num. Carries
What is the number of small spoons that Isabella has?,Michael has 380 small spoons. Isabella has 170 fewer small spoons than Michael.,Michael has 504 small spoons. Isabella has 294 fewer small spoons than Michael.,Michael has 380 small spoons. Isabella has 170 fewer small spoons than Michael. What is the number of small spoons that Isabella has?,Michael has 504 small spoons. Isabella has 294 fewer small spoons than Michael. What is the number of small spoons that Isabella has?,210,210,210,Subtraction,1
How many kilowatt-hours of emergency energy reserve does Henry have?,Chloe has 435 kilowatt-hours of emergency energy reserve. Chloe has 231 kilowatt-hours of emergency energy reserve more than Henry.,Chloe has 992 kilowatt-hours of emergency energy reserve. Chloe has 788 kilowatt-hours of emergency energy reserve more than Henry.,Chloe has 435 kilowatt-hours of emergency energy reserve. Chloe has 231 kilowatt-hours more emergency energy reserve than Henry. How many kilowatt-hours of emergency energy reserve does Henry have?,Chloe has 992 kilowatt-hours of emergency energy reserve. Chloe has 788 kilowatt-hours more emergency energy reserve than Henry. How many kilowatt-hours of emergency energy reserve does Henry have?,204,204,204,Subtraction,1
What is the number of large irons that Hannah has?,James has 123 large irons. James has 713 fewer large irons than Hannah.,James has 167 large irons. James has 669 fewer large irons than Hannah.,James has 123 large irons. James has 713 fewer large irons than Hannah. What is the number of large irons that Hannah has?,James has 167 large irons. James has 669 fewer large irons than Hannah. What is the number of large irons that Hannah has?,836,836,836,Addition,2
How many acres of farmland does Ryan have?,Mia has 452 acres of farmland. Ryan has 112 acres of farmland more than Mia.,Mia has 386 acres of farmland. Ryan has 178 acres of farmland more than Mia.,Mia has 452 acres of farmland. Ryan has 112 acres more farmland than Mia. How many acres of farmland does Ryan have?,Mia has 386 acres of farmland. Ryan has 178 acres more farmland than Mia. How many acres of farmland does Ryan have?,564,564,564,Addition,2
What is the number of orange soaps that Scarlett has?,Jacob has 896 orange soaps. Jacob has 160 more orange soaps than Scarlett.,Jacob has 915 orange soaps. Jacob has 179 more orange soaps than Scarlett.,Jacob has 896 orange soaps. Jacob has 160 more orange soaps than Scarlett. What is the number of orange soaps that Scarlett has?,Jacob has 915 orange soaps. Jacob has 179 more orange soaps than Scarlett. What is the number of orange soaps that Scarlett has?,736,736,736,Subtraction,2
How many mugs does Mason have in all?,Hannah has 617 mugs. Mason has 510 fewer mugs than Hannah.,Hannah has 986 mugs. Mason has 879 fewer mugs than Hannah.,Hannah has 617 mugs. Mason has 510 fewer mugs than Hannah. How many mugs does Mason have in total?,Hannah has 986 mugs. Mason has 879 fewer mugs than Hannah. How many mugs does Mason have in total?,107,107,107,Subtraction,1
How many acres of farmland does Joshua have?,Daniel has 939 acres of farmland. Joshua has 302 acres of farmland less than Daniel.,Daniel has 962 acres of farmland. Joshua has 325 acres of farmland less than Daniel.,Daniel has 939 acres of farmland. Joshua has 302 acres less than Daniel. How many acres of farmland does Joshua have?,Daniel has 962 acres of farmland. Joshua has 325 acres less than Daniel. How many acres of farmland does Joshua have?,637,637,637,Subtraction,1
What is the number of blue juicers that Charlotte has?,Andrew has 652 blue juicers. Andrew has 140 fewer blue juicers than Charlotte.,Andrew has 215 blue juicers. Andrew has 577 fewer blue juicers than Charlotte.,Andrew has 652 blue juicers. Andrew has 140 fewer blue juicers than Charlotte. What is the number of blue juicers that Charlotte has?,Andrew has 215 blue juicers. Andrew has 577 fewer blue juicers than Charlotte. What is the number of blue juicers that Charlotte has?,792,792,792,Addition,1
How many kilowatt-hours of emergency energy reserve does Nathan have?,William has 659 kilowatt-hours of emergency energy reserve. Nathan has 531 kilowatt-hours of emergency energy reserve less than William.,William has 390 kilowatt-hours of emergency energy reserve. Nathan has 262 kilowatt-hours of emergency energy reserve less than William.,William has 659 kilowatt-hours of emergency energy reserve. Nathan has 531 kilowatt-hours less than William. How many kilowatt-hours of emergency energy reserve does Nathan have?,William has 390 kilowatt-hours of emergency energy reserve. Nathan has 262 kilowatt-hours less than William. How many kilowatt-hours of emergency energy reserve does Nathan have?,128,128,128,Subtraction,1
How many juicers does Elijah have in all?,Christian has 550 juicers. Elijah has 100 more juicers than Christian.,Christian has 485 juicers. Elijah has 165 more juicers than Christian.,Christian has 550 juicers. Elijah has 100 more juicers than Christian. How many juicers does Elijah have in total?,Christian has 485 juicers. Elijah has 165 more juicers than Christian. How many juicers does Elijah have in total?,650,650,650,Addition,2
How many rugs does Ryan have in all?,Joseph has 754 rugs. Ryan has 600 fewer rugs than Joseph.,Joseph has 848 rugs. Ryan has 694 fewer rugs than Joseph.,Joseph has 754 rugs. Ryan has 600 fewer rugs than Joseph. How many rugs does Ryan have in total?,Joseph has 848 rugs. Ryan has 694 fewer rugs than Joseph. How many rugs does Ryan have in total?,154,154,154,Subtraction,1
What is the number of orange computers that Harper has?,Nathan has 111 orange computers. Harper has 483 more orange computers than Nathan.,Nathan has 115 orange computers. Harper has 479 more orange computers than Nathan.,Nathan has 111 orange computers. Harper has 483 orange computers more than Nathan. What is the number of orange computers that Harper has?,Nathan has 115 orange computers. Harper has 479 orange computers more than Nathan. What is the number of orange computers that Harper has?,594,594,594,Addition,1
What is the number of orange rugs that Harper has?,Scarlett has 682 orange rugs. Harper has 203 more orange rugs than Scarlett.,Scarlett has 738 orange rugs. Harper has 147 more orange rugs than Scarlett.,Scarlett has 682 orange rugs. Harper has 203 orange rugs more than Scarlett. What is the number of orange rugs that Harper has?,Scarlett has 738 orange rugs. Harper has 147 orange rugs more than Scarlett. What is the number of orange rugs that Harper has?,885,885,885,Addition,1
How many desks does Natalie have in total?,Ella has 100 desks. Ella has 211 fewer desks than Natalie.,Ella has 163 desks. Ella has 148 fewer desks than Natalie.,Ella has 100 desks. Ella has 211 fewer desks than Natalie. How many desks does Natalie have in total?,Ella has 163 desks. Ella has 148 fewer desks than Natalie. How many desks does Natalie have in total?,311,311,311,Addition,2
What is the number of small headphones that Emily has?,Nicholas has 222 small headphones. Emily has 506 more small headphones than Nicholas.,Nicholas has 249 small headphones. Emily has 479 more small headphones than Nicholas.,Nicholas has 222 small headphones. Emily has 506 small headphones more than Nicholas. What is the number of small headphones that Emily has?,Nicholas has 249 small headphones. Emily has 479 small headphones more than Nicholas. What is the number of small headphones that Emily has?,728,728,728,Addition,2
What is the number of green paintings that Elizabeth has?,Jackson has 958 green paintings. Jackson has 633 more green paintings than Elizabeth.,Jackson has 513 green paintings. Jackson has 188 more green paintings than Elizabeth.,Jackson has 958 green paintings. Jackson has 633 more green paintings than Elizabeth. What is the number of green paintings that Elizabeth has?,Jackson has 513 green paintings. Jackson has 188 more green paintings than Elizabeth. What is the number of green paintings that Elizabeth has?,325,325,325,Subtraction,2
How many rugs does Ava have in total?,Avery has 130 rugs. Avery has 220 fewer rugs than Ava.,Avery has 162 rugs. Avery has 188 fewer rugs than Ava.,Avery has 130 rugs. Avery has 220 fewer rugs than Ava. How many rugs does Ava have in total?,Avery has 162 rugs. Avery has 188 fewer rugs than Ava. How many rugs does Ava have in total?,350,350,350,Addition,2
What is the number of yellow lamps that Nicholas has?,William has 205 yellow lamps. William has 344 fewer yellow lamps than Nicholas.,William has 172 yellow lamps. William has 377 fewer yellow lamps than Nicholas.,William has 205 yellow lamps. William has 344 fewer yellow lamps than Nicholas. What is the number of yellow lamps that Nicholas has?,William has 172 yellow lamps. William has 377 fewer yellow lamps than Nicholas. What is the number of yellow lamps that Nicholas has?,549,549,549,Addition,1
How many gallons of oil does Logan have?,Nathan has 849 gallons of oil. Nathan has 102 gallons of oil more than Logan.,Nathan has 996 gallons of oil. Nathan has 249 gallons of oil more than Logan.,Nathan has 849 gallons of oil. Nathan has 102 gallons more oil than Logan. How many gallons of oil does Logan have?,Nathan has 996 gallons of oil. Nathan has 249 gallons more oil than Logan. How many gallons of oil does Logan have?,747,747,747,Subtraction,1
What is the number of orange keyboards that Nicholas has?,Layla has 530 orange keyboards. Layla has 209 fewer orange keyboards than Nicholas.,Layla has 450 orange keyboards. Layla has 289 fewer orange keyboards than Nicholas.,Layla has 530 orange keyboards. Layla has 209 fewer orange keyboards than Nicholas. What is the number of orange keyboards that Nicholas has?,Layla has 450 orange keyboards. Layla has 289 fewer orange keyboards than Nicholas. What is the number of orange keyboards that Nicholas has?,739,739,739,Addition,1
What is the number of yellow sofas that Jacob has?,Michael has 164 yellow sofas. Jacob has 200 more yellow sofas than Michael.,Michael has 227 yellow sofas. Jacob has 137 more yellow sofas than Michael.,Michael has 164 yellow sofas. Jacob has 200 yellow sofas more than Michael. What is the number of yellow sofas that Jacob has?,Michael has 227 yellow sofas. Jacob has 137 yellow sofas more than Michael. What is the number of yellow sofas that Jacob has?,364,364,364,Addition,1
What is the number of blue plants that Layla has?,Harper has 209 blue plants. Layla has 250 more blue plants than Harper.,Harper has 189 blue plants. Layla has 270 more blue plants than Harper.,Harper has 209 blue plants. Layla has 250 blue plants more than Harper. What is the number of blue plants that Layla has?,Harper has 189 blue plants. Layla has 270 blue plants more than Harper. What is the number of blue plants that Layla has?,459,459,459,Addition,1
How many dollars of bitcoin does Logan have?,Matthew has 967 dollars of bitcoin. Matthew has 323 dollars of bitcoin more than Logan.,Matthew has 903 dollars of bitcoin. Matthew has 259 dollars of bitcoin more than Logan.,Matthew has 967 dollars of bitcoin. Matthew has 323 dollars more of bitcoin than Logan. How many dollars of bitcoin does Logan have?,Matthew has 903 dollars of bitcoin. Matthew has 259 dollars more of bitcoin than Logan. How many dollars of bitcoin does Logan have?,644,644,644,Subtraction,2
How many meters of rope does Isabella have?,Daniel has 361 meters of rope. Isabella has 437 meters of rope more than Daniel.,Daniel has 689 meters of rope. Isabella has 109 meters of rope more than Daniel.,Daniel has 361 meters of rope. Isabella has 437 meters more rope than Daniel. How many meters of rope does Isabella have?,Daniel has 689 meters of rope. Isabella has 109 meters more rope than Daniel. How many meters of rope does Isabella have?,798,798,798,Addition,1
What is the number of red plants that Mila has?,James has 416 red plants. Mila has 214 fewer red plants than James.,James has 740 red plants. Mila has 538 fewer red plants than James.,James has 416 red plants. Mila has 214 fewer red plants than James. What is the number of red plants that Mila has?,James has 740 red plants. Mila has 538 fewer red plants than James. What is the number of red plants that Mila has?,202,202,202,Subtraction,1
How many liters of milk does Nathan have?,Daniel has 500 liters of milk. Nathan has 138 liters of milk more than Daniel.,Daniel has 495 liters of milk. Nathan has 143 liters of milk more than Daniel.,Daniel has 500 liters of milk. Nathan has 138 liters more milk than Daniel. How many liters of milk does Nathan have?,Daniel has 495 liters of milk. Nathan has 143 liters more milk than Daniel. How many liters of milk does Nathan have?,638,638,638,Addition,1
What is the number of green lamps that Sofia has?,Jacob has 216 green lamps. Sofia has 601 more green lamps than Jacob.,Jacob has 423 green lamps. Sofia has 394 more green lamps than Jacob.,Jacob has 216 green lamps. Sofia has 601 green lamps more than Jacob. What is the number of green lamps that Sofia has?,Jacob has 423 green lamps. Sofia has 394 green lamps more than Jacob. What is the number of green lamps that Sofia has?,817,817,817,Addition,1
How many acres of farmland does John have?,Scarlett has 786 acres of farmland. John has 655 acres of farmland less than Scarlett.,Scarlett has 810 acres of farmland. John has 679 acres of farmland less than Scarlett.,"Scarlett has 786 acres of farmland. John has 655 acres of farmland, which is less than Scarlett. How many acres of farmland does John have?","Scarlett has 810 acres of farmland. John has 679 acres of farmland, which is less than Scarlett. How many acres of farmland does John have?",131,131,131,Subtraction,2
How many rolls of toilet papers does Olivia have totaled?,Victoria has 557 rolls of toilet papers. Olivia has 430 fewer rolls of toilet papers than Victoria.,Victoria has 972 rolls of toilet papers. Olivia has 845 fewer rolls of toilet papers than Victoria.,Victoria has 557 rolls of toilet paper. Olivia has 430 fewer rolls of toilet paper than Victoria. How many rolls of toilet paper does Olivia have in total?,Victoria has 972 rolls of toilet paper. Olivia has 845 fewer rolls of toilet paper than Victoria. How many rolls of toilet paper does Olivia have in total?,127,127,127,Subtraction,1
How many kilowatt-hours of emergency energy reserve does Avery have?,Amelia has 609 kilowatt-hours of emergency energy reserve. Avery has 507 kilowatt-hours of emergency energy reserve less than Amelia.,Amelia has 300 kilowatt-hours of emergency energy reserve. Avery has 198 kilowatt-hours of emergency energy reserve less than Amelia.,"Amelia has 609 kilowatt-hours of emergency energy reserve. Avery has 507 kilowatt-hours of emergency energy reserve, which is less than Amelia. How many kilowatt-hours of emergency energy reserve does Avery have?","Amelia has 300 kilowatt-hours of emergency energy reserve. Avery has 198 kilowatt-hours of emergency energy reserve, which is less than Amelia. How many kilowatt-hours of emergency energy reserve does Avery have?",102,102,102,Subtraction,2
How many dollars of bitcoin does Jackson have?,Elijah has 300 dollars of bitcoin. Jackson has 657 dollars of bitcoin more than Elijah.,Elijah has 698 dollars of bitcoin. Jackson has 259 dollars of bitcoin more than Elijah.,Elijah has 300 dollars of bitcoin. Jackson has 657 dollars more bitcoin than Elijah. How many dollars of bitcoin does Jackson have?,Elijah has 698 dollars of bitcoin. Jackson has 259 dollars more bitcoin than Elijah. How many dollars of bitcoin does Jackson have?,957,957,957,Addition,2
How many beds does Elizabeth have in all?,Mason has 208 beds. Elizabeth has 370 more beds than Mason.,Mason has 379 beds. Elizabeth has 199 more beds than Mason.,Mason has 208 beds. Elizabeth has 370 beds more than Mason. How many beds does Elizabeth have in total?,Mason has 379 beds. Elizabeth has 199 beds more than Mason. How many beds does Elizabeth have in total?,578,578,578,Addition,2
What is the number of yellow headphones that Liam has?,Chloe has 196 yellow headphones. Chloe has 500 fewer yellow headphones than Liam.,Chloe has 418 yellow headphones. Chloe has 278 fewer yellow headphones than Liam.,Chloe has 196 yellow headphones. Chloe has 500 fewer yellow headphones than Liam. What is the number of yellow headphones that Liam has?,Chloe has 418 yellow headphones. Chloe has 278 fewer yellow headphones than Liam. What is the number of yellow headphones that Liam has?,696,696,696,Addition,1
What is the number of yellow speakers that Isabella has?,Sofia has 522 yellow speakers. Sofia has 311 more yellow speakers than Isabella.,Sofia has 360 yellow speakers. Sofia has 149 more yellow speakers than Isabella.,Sofia has 522 yellow speakers. Sofia has 311 more yellow speakers than Isabella. What is the number of yellow speakers that Isabella has?,Sofia has 360 yellow speakers. Sofia has 149 more yellow speakers than Isabella. What is the number of yellow speakers that Isabella has?,211,211,211,Subtraction,1
How many liters of milk does Andrew have?,Olivia has 222 liters of milk. Olivia has 133 liters of milk less than Andrew.,Olivia has 173 liters of milk. Olivia has 182 liters of milk less than Andrew.,Olivia has 222 liters of milk. Olivia has 133 liters less milk than Andrew. How many liters of milk does Andrew have?,Olivia has 173 liters of milk. Olivia has 182 liters less milk than Andrew. How many liters of milk does Andrew have?,355,355,355,Addition,1
What is the number of large juicers that Christian has?,Emily has 339 large juicers. Emily has 205 more large juicers than Christian.,Emily has 440 large juicers. Emily has 306 more large juicers than Christian.,Emily has 339 large juicers. Emily has 205 more large juicers than Christian. What is the number of large juicers that Christian has?,Emily has 440 large juicers. Emily has 306 more large juicers than Christian. What is the number of large juicers that Christian has?,134,134,134,Subtraction,1
How many gigabytes of training data does Ava have?,Amelia has 150 gigabytes of training data. Ava has 445 gigabytes of training data more than Amelia.,Amelia has 136 gigabytes of training data. Ava has 459 gigabytes of training data more than Amelia.,Amelia has 150 gigabytes of training data. Ava has 445 gigabytes more training data than Amelia. How many gigabytes of training data does Ava have?,Amelia has 136 gigabytes of training data. Ava has 459 gigabytes more training data than Amelia. How many gigabytes of training data does Ava have?,595,595,595,Addition,1
What is the number of orange keyboards that Jackson has?,Christopher has 844 orange keyboards. Jackson has 103 more orange keyboards than Christopher.,Christopher has 187 orange keyboards. Jackson has 760 more orange keyboards than Christopher.,Christopher has 844 orange keyboards. Jackson has 103 more orange keyboards than Christopher. What is the number of orange keyboards that Jackson has?,Christopher has 187 orange keyboards. Jackson has 760 more orange keyboards than Christopher. What is the number of orange keyboards that Jackson has?,947,947,947,Addition,1
What is the number of green toothbrushs that Charlotte has?,Benjamin has 422 green toothbrushs. Benjamin has 355 fewer green toothbrushs than Charlotte.,Benjamin has 579 green toothbrushs. Benjamin has 198 fewer green toothbrushs than Charlotte.,Benjamin has 422 green toothbrushes. Benjamin has 355 fewer green toothbrushes than Charlotte. What is the number of green toothbrushes that Charlotte has?,Benjamin has 579 green toothbrushes. Benjamin has 198 fewer green toothbrushes than Charlotte. What is the number of green toothbrushes that Charlotte has?,777,777,777,Addition,2
How many gallons of oil does Sofia have?,Daniel has 896 gallons of oil. Sofia has 651 gallons of oil less than Daniel.,Daniel has 620 gallons of oil. Sofia has 375 gallons of oil less than Daniel.,Daniel has 896 gallons of oil. Sofia has 651 gallons less oil than Daniel. How many gallons of oil does Sofia have?,Daniel has 620 gallons of oil. Sofia has 375 gallons less oil than Daniel. How many gallons of oil does Sofia have?,245,245,245,Subtraction,2
What is the number of yellow phones that Henry has?,Jacob has 233 yellow phones. Henry has 515 more yellow phones than Jacob.,Jacob has 589 yellow phones. Henry has 159 more yellow phones than Jacob.,Jacob has 233 yellow phones. Henry has 515 yellow phones more than Jacob. What is the number of yellow phones that Henry has?,Jacob has 589 yellow phones. Henry has 159 yellow phones more than Jacob. What is the number of yellow phones that Henry has?,748,748,748,Addition,2
What is the number of yellow tables that Daniel has?,Jonathan has 881 yellow tables. Daniel has 351 fewer yellow tables than Jonathan.,Jonathan has 727 yellow tables. Daniel has 197 fewer yellow tables than Jonathan.,Jonathan has 881 yellow tables. Daniel has 351 fewer yellow tables than Jonathan. What is the number of yellow tables that Daniel has?,Jonathan has 727 yellow tables. Daniel has 197 fewer yellow tables than Jonathan. What is the number of yellow tables that Daniel has?,530,530,530,Subtraction,1
How many meters of rope does Ava have?,James has 120 meters of rope. James has 660 meters of rope less than Ava.,James has 597 meters of rope. James has 183 meters of rope less than Ava.,James has 120 meters of rope. James has 660 meters less rope than Ava. How many meters of rope does Ava have?,James has 597 meters of rope. James has 183 meters less rope than Ava. How many meters of rope does Ava have?,780,780,780,Addition,2
What is the number of yellow plants that Jacob has?,Liam has 747 yellow plants. Jacob has 405 fewer yellow plants than Liam.,Liam has 811 yellow plants. Jacob has 469 fewer yellow plants than Liam.,Liam has 747 yellow plants. Jacob has 405 fewer yellow plants than Liam. What is the number of yellow plants that Jacob has?,Liam has 811 yellow plants. Jacob has 469 fewer yellow plants than Liam. What is the number of yellow plants that Jacob has?,342,342,342,Subtraction,2
What is the number of green beds that Jonathan has?,Harper has 843 green beds. Harper has 612 more green beds than Jonathan.,Harper has 600 green beds. Harper has 369 more green beds than Jonathan.,Harper has 843 green beds. Harper has 612 more green beds than Jonathan. What is the number of green beds that Jonathan has?,Harper has 600 green beds. Harper has 369 more green beds than Jonathan. What is the number of green beds that Jonathan has?,231,231,231,Subtraction,2
How many liters of milk does Olivia have?,Avery has 530 liters of milk. Avery has 132 liters of milk less than Olivia.,Avery has 468 liters of milk. Avery has 194 liters of milk less than Olivia.,Avery has 530 liters of milk. Avery has 132 liters less milk than Olivia. How many liters of milk does Olivia have?,Avery has 468 liters of milk. Avery has 194 liters less milk than Olivia. How many liters of milk does Olivia have?,662,662,662,Addition,2
How many ovens does Emma have?,Logan has 438 ovens. Logan has 101 fewer ovens than Emma.,Logan has 348 ovens. Logan has 191 fewer ovens than Emma.,Logan has 438 ovens. Logan has 101 fewer ovens than Emma. How many ovens does Emma have?,Logan has 348 ovens. Logan has 191 fewer ovens than Emma. How many ovens does Emma have?,539,539,539,Addition,1
How many cups does Sophia have in their collection?,Mia has 998 cups. Mia has 814 more cups than Sophia.,Mia has 610 cups. Mia has 426 more cups than Sophia.,Mia has 998 cups. Mia has 814 cups more than Sophia. How many cups does Sophia have in her collection?,Mia has 610 cups. Mia has 426 cups more than Sophia. How many cups does Sophia have in her collection?,184,184,184,Subtraction,2
What is the number of blue rolls of toilet papers that Emily has?,Christopher has 499 blue rolls of toilet papers. Christopher has 378 more blue rolls of toilet papers than Emily.,Christopher has 620 blue rolls of toilet papers. Christopher has 499 more blue rolls of toilet papers than Emily.,Christopher has 499 blue rolls of toilet paper. Christopher has 378 more blue rolls of toilet paper than Emily. What is the number of blue rolls of toilet paper that Emily has?,Christopher has 620 blue rolls of toilet paper. Christopher has 499 more blue rolls of toilet paper than Emily. What is the number of blue rolls of toilet paper that Emily has?,121,121,121,Subtraction,2
What is the number of orange beds that Sofia has?,Harper has 552 orange beds. Harper has 332 fewer orange beds than Sofia.,Harper has 489 orange beds. Harper has 395 fewer orange beds than Sofia.,Harper has 552 orange beds. Harper has 332 fewer orange beds than Sofia. What is the number of orange beds that Sofia has?,Harper has 489 orange beds. Harper has 395 fewer orange beds than Sofia. What is the number of orange beds that Sofia has?,884,884,884,Addition,2
What is the number of large clocks that Mia has?,Lucy has 992 large clocks. Lucy has 700 more large clocks than Mia.,Lucy has 680 large clocks. Lucy has 388 more large clocks than Mia.,Lucy has 992 large clocks. Lucy has 700 more large clocks than Mia. What is the number of large clocks that Mia has?,Lucy has 680 large clocks. Lucy has 388 more large clocks than Mia. What is the number of large clocks that Mia has?,292,292,292,Subtraction,2
What is the number of blue bottles that Michael has?,Nathan has 540 blue bottles. Michael has 409 more blue bottles than Nathan.,Nathan has 288 blue bottles. Michael has 661 more blue bottles than Nathan.,Nathan has 540 blue bottles. Michael has 409 blue bottles more than Nathan. What is the number of blue bottles that Michael has?,Nathan has 288 blue bottles. Michael has 661 blue bottles more than Nathan. What is the number of blue bottles that Michael has?,949,949,949,Addition,1
What is the number of large rolls of toilet papers that Matthew has?,Liam has 886 large rolls of toilet papers. Liam has 250 more large rolls of toilet papers than Matthew.,Liam has 762 large rolls of toilet papers. Liam has 126 more large rolls of toilet papers than Matthew.,Liam has 886 large rolls of toilet paper. Liam has 250 more large rolls of toilet paper than Matthew. What is the number of large rolls of toilet paper that Matthew has?,Liam has 762 large rolls of toilet paper. Liam has 126 more large rolls of toilet paper than Matthew. What is the number of large rolls of toilet paper that Matthew has?,636,636,636,Subtraction,1
How many tables does Mia have in all?,Christopher has 511 tables. Christopher has 262 fewer tables than Mia.,Christopher has 575 tables. Christopher has 198 fewer tables than Mia.,Christopher has 511 tables. Christopher has 262 fewer tables than Mia. How many tables does Mia have in total?,Christopher has 575 tables. Christopher has 198 fewer tables than Mia. How many tables does Mia have in total?,773,773,773,Addition,2
What is the number of small blenders that Joseph has?,Liam has 866 small blenders. Liam has 463 more small blenders than Joseph.,Liam has 821 small blenders. Liam has 418 more small blenders than Joseph.,Liam has 866 small blenders. Liam has 463 more small blenders than Joseph. What is the number of small blenders that Joseph has?,Liam has 821 small blenders. Liam has 418 more small blenders than Joseph. What is the number of small blenders that Joseph has?,403,403,403,Subtraction,1
What is the number of orange spoons that Joseph has?,Olivia has 245 orange spoons. Joseph has 704 more orange spoons than Olivia.,Olivia has 384 orange spoons. Joseph has 565 more orange spoons than Olivia.,Olivia has 245 orange spoons. Joseph has 704 orange spoons more than Olivia. What is the number of orange spoons that Joseph has?,Olivia has 384 orange spoons. Joseph has 565 orange spoons more than Olivia. What is the number of orange spoons that Joseph has?,949,949,949,Addition,1
What is the number of blue rolls of toilet papers that Jonathan has?,Amelia has 220 blue rolls of toilet papers. Amelia has 405 fewer blue rolls of toilet papers than Jonathan.,Amelia has 470 blue rolls of toilet papers. Amelia has 155 fewer blue rolls of toilet papers than Jonathan.,Amelia has 220 blue rolls of toilet paper. Amelia has 405 fewer blue rolls of toilet paper than Jonathan. What is the number of blue rolls of toilet paper that Jonathan has?,Amelia has 470 blue rolls of toilet paper. Amelia has 155 fewer blue rolls of toilet paper than Jonathan. What is the number of blue rolls of toilet paper that Jonathan has?,625,625,625,Addition,1
How many gallons of oil does Amelia have?,Christian has 847 gallons of oil. Amelia has 642 gallons of oil less than Christian.,Christian has 701 gallons of oil. Amelia has 496 gallons of oil less than Christian.,Christian has 847 gallons of oil. Amelia has 642 gallons less than Christian. How many gallons of oil does Amelia have?,Christian has 701 gallons of oil. Amelia has 496 gallons less than Christian. How many gallons of oil does Amelia have?,205,205,205,Subtraction,2
How many pans does Joshua have in their collection?,Lily has 677 pans. Lily has 571 more pans than Joshua.,Lily has 301 pans. Lily has 195 more pans than Joshua.,Lily has 677 pans. She has 571 more pans than Joshua. How many pans does Joshua have in his collection?,Lily has 301 pans. She has 195 more pans than Joshua. How many pans does Joshua have in his collection?,106,106,106,Subtraction,2
How many gallons of oil does Ryan have?,Nicholas has 869 gallons of oil. Nicholas has 367 gallons of oil more than Ryan.,Nicholas has 620 gallons of oil. Nicholas has 118 gallons of oil more than Ryan.,Nicholas has 869 gallons of oil. Nicholas has 367 gallons more oil than Ryan. How many gallons of oil does Ryan have?,Nicholas has 620 gallons of oil. Nicholas has 118 gallons more oil than Ryan. How many gallons of oil does Ryan have?,502,502,502,Subtraction,1
What is the number of red headphones that Samuel has?,Nathan has 897 red headphones. Samuel has 695 fewer red headphones than Nathan.,Nathan has 600 red headphones. Samuel has 398 fewer red headphones than Nathan.,Nathan has 897 red headphones. Samuel has 695 fewer red headphones than Nathan. What is the number of red headphones that Samuel has?,Nathan has 600 red headphones. Samuel has 398 fewer red headphones than Nathan. What is the number of red headphones that Samuel has?,202,202,202,Subtraction,2
How many meters of rope does Ella have?,Alexander has 469 meters of rope. Alexander has 113 meters of rope more than Ella.,Alexander has 548 meters of rope. Alexander has 192 meters of rope more than Ella.,Alexander has 469 meters of rope. Alexander has 113 meters more rope than Ella. How many meters of rope does Ella have?,Alexander has 548 meters of rope. Alexander has 192 meters more rope than Ella. How many meters of rope does Ella have?,356,356,356,Subtraction,1
What is the number of green mirrors that Evelyn has?,Victoria has 545 green mirrors. Victoria has 401 fewer green mirrors than Evelyn.,Victoria has 658 green mirrors. Victoria has 288 fewer green mirrors than Evelyn.,Victoria has 545 green mirrors. Victoria has 401 fewer green mirrors than Evelyn. What is the number of green mirrors that Evelyn has?,Victoria has 658 green mirrors. Victoria has 288 fewer green mirrors than Evelyn. What is the number of green mirrors that Evelyn has?,946,946,946,Addition,2
How many towels does Hannah have in total?,Matthew has 154 towels. Hannah has 734 more towels than Matthew.,Matthew has 199 towels. Hannah has 689 more towels than Matthew.,Matthew has 154 towels. Hannah has 734 towels more than Matthew. How many towels does Hannah have in total?,Matthew has 199 towels. Hannah has 689 towels more than Matthew. How many towels does Hannah have in total?,888,888,888,Addition,2
How many toothbrushs does Avery have in all?,Emily has 998 toothbrushs. Emily has 506 more toothbrushs than Avery.,Emily has 731 toothbrushs. Emily has 239 more toothbrushs than Avery.,Emily has 998 toothbrushes. Emily has 506 more toothbrushes than Avery. How many toothbrushes does Avery have in total?,Emily has 731 toothbrushes. Emily has 239 more toothbrushes than Avery. How many toothbrushes does Avery have in total?,492,492,492,Subtraction,2
How many meters of rope does Abigail have?,David has 211 meters of rope. David has 124 meters of rope less than Abigail.,David has 107 meters of rope. David has 228 meters of rope less than Abigail.,David has 211 meters of rope. David has 124 meters less rope than Abigail. How many meters of rope does Abigail have?,David has 107 meters of rope. David has 228 meters less rope than Abigail. How many meters of rope does Abigail have?,335,335,335,Addition,1
How many meters of rope does Jackson have?,Lucy has 787 meters of rope. Lucy has 471 meters of rope more than Jackson.,Lucy has 880 meters of rope. Lucy has 564 meters of rope more than Jackson.,Lucy has 787 meters of rope. Lucy has 471 meters more rope than Jackson. How many meters of rope does Jackson have?,Lucy has 880 meters of rope. Lucy has 564 meters more rope than Jackson. How many meters of rope does Jackson have?,316,316,316,Subtraction,1
How many lamps does Chloe have in all?,Harper has 357 lamps. Chloe has 132 fewer lamps than Harper.,Harper has 724 lamps. Chloe has 499 fewer lamps than Harper.,Harper has 357 lamps. Chloe has 132 fewer lamps than Harper. How many lamps does Chloe have in total?,Harper has 724 lamps. Chloe has 499 fewer lamps than Harper. How many lamps does Chloe have in total?,225,225,225,Subtraction,2
